"Rank","Player","Matchup","Salary","Avg","Prob","Status"
1,"James Harden","UTA@HOU 11/05/2017 07:00PM ET",10100,50.7,0.455,""
2,"Devin Booker","PHO@SA 11/05/2017 07:00PM ET",7800,38.139,0.149,""
3,"Victor Oladipo","IND@NY 11/05/2017 07:30PM ET",8200,39.556,0.139,""
4,"Bradley Beal","WAS@TOR 11/05/2017 06:00PM ET",7700,37.656,0.078,""
5,"Evan Fournier","BOS@ORL 11/05/2017 06:00PM ET",6900,36.75,0.062,""
6,"Eric Gordon","UTA@HOU 11/05/2017 07:00PM ET",6500,33.944,0.043,""
7,"DeMar DeRozan","WAS@TOR 11/05/2017 06:00PM ET",7600,36.281,0.027,""
8,"C.J. McCollum","OKC@POR 11/05/2017 09:00PM ET",7500,35.594,0.014,""
9,"Brandon Ingram","MEM@LAL 11/05/2017 09:30PM ET",6000,28.333,0.01,""
10,"Dillon Brooks","MEM@LAL 11/05/2017 09:30PM ET",3900,17.556,0.005,""
11,"Terrence Ross","BOS@ORL 11/05/2017 06:00PM ET",3900,19.389,0.005,""
12,"Donovan Mitchell","UTA@HOU 11/05/2017 07:00PM ET",3800,22.472,0.003,""
13,"Terry Rozier","BOS@ORL 11/05/2017 06:00PM ET",3800,22.778,0.002,""
14,"Kentavious Caldwell-Pope","MEM@LAL 11/05/2017 09:30PM ET",4900,23.536,0.002,""
15,"Jimmy Butler","CHA@MIN 11/05/2017 08:00PM ET",7300,31,0.002,""
16,"Jaylen Brown","BOS@ORL 11/05/2017 06:00PM ET",5800,27.806,0.001,""
17,"Marcus Smart","BOS@ORL 11/05/2017 06:00PM ET",5100,25.857,0.001,""
18,"Jamal Crawford","CHA@MIN 11/05/2017 08:00PM ET",3900,18.25,0.001,""
19,"Danny Green","PHO@SA 11/05/2017 07:00PM ET",4700,22.306,0.001,""
20,"Jabari Bird","BOS@ORL 11/05/2017 06:00PM ET",3000,2.125,0,""
21,"Kadeem Allen","BOS@ORL 11/05/2017 06:00PM ET",3000,0,0,""
22,"Jeremy Lamb","CHA@MIN 11/05/2017 08:00PM ET",6000,32.111,0,""
23,"Malik Monk","CHA@MIN 11/05/2017 08:00PM ET",4200,15.556,0,""
24,"Dwayne Bacon","CHA@MIN 11/05/2017 08:00PM ET",3000,16.444,0,""
25,"Treveon Graham","CHA@MIN 11/05/2017 08:00PM ET",3000,11.156,0,""
26,"Trevor Ariza","UTA@HOU 11/05/2017 07:00PM ET",4600,22.75,0,""
27,"Troy Williams","UTA@HOU 11/05/2017 07:00PM ET",3000,3.875,0,""
28,"Bojan Bogdanovic","IND@NY 11/05/2017 07:30PM ET",4600,21.778,0,""
29,"Lance Stephenson","IND@NY 11/05/2017 07:30PM ET",3200,14,0,""
30,"Joe Young","IND@NY 11/05/2017 07:30PM ET",3000,4.208,0,""
31,"Damien Wilkins","IND@NY 11/05/2017 07:30PM ET",3000,3.143,0,""
32,"Jordan Clarkson","MEM@LAL 11/05/2017 09:30PM ET",4200,22.972,0,""
33,"Corey Brewer","MEM@LAL 11/05/2017 09:30PM ET",3000,6.472,0,""
34,"Alex Caruso","MEM@LAL 11/05/2017 09:30PM ET",3000,4.75,0,""
35,"Vander Blue","MEM@LAL 11/05/2017 09:30PM ET",3000,0,0,""
36,"Josh Hart","MEM@LAL 11/05/2017 09:30PM ET",3000,9.156,0,""
37,"Tyler Ennis","MEM@LAL 11/05/2017 09:30PM ET",3000,4.821,0,""
38,"Tyreke Evans","MEM@LAL 11/05/2017 09:30PM ET",5800,29.056,0,""
39,"James Ennis III","MEM@LAL 11/05/2017 09:30PM ET",3900,20.278,0,""
40,"Ben McLemore","MEM@LAL 11/05/2017 09:30PM ET",3500,0,0,""
41,"Andrew Harrison","MEM@LAL 11/05/2017 09:30PM ET",3400,10.469,0,""
42,"Wayne Selden Jr.","MEM@LAL 11/05/2017 09:30PM ET",3000,0,0,"GTD"
43,"Kobi Simmons","MEM@LAL 11/05/2017 09:30PM ET",3000,0,0,""
44,"Shabazz Muhammad","CHA@MIN 11/05/2017 08:00PM ET",3800,8.167,0,""
45,"Anthony Brown","CHA@MIN 11/05/2017 08:00PM ET",3000,0,0,""
46,"Tyus Jones","CHA@MIN 11/05/2017 08:00PM ET",3000,8.583,0,""
47,"Aaron Brooks","CHA@MIN 11/05/2017 08:00PM ET",3000,2.5,0,""
48,"Marcus Georges-Hunt","CHA@MIN 11/05/2017 08:00PM ET",3000,-0.125,0,""
49,"Tim Hardaway Jr.","IND@NY 11/05/2017 07:30PM ET",6100,27.156,0,""
50,"Courtney Lee","IND@NY 11/05/2017 07:30PM ET",4300,21.844,0,""
51,"Frank Ntilikina","IND@NY 11/05/2017 07:30PM ET",3800,13.25,0,""
52,"Ron Baker","IND@NY 11/05/2017 07:30PM ET",3000,12,0,"GTD"
53,"Damyean Dotson","IND@NY 11/05/2017 07:30PM ET",3000,5.2,0,""
54,"Raymond Felton","OKC@POR 11/05/2017 09:00PM ET",3500,16.531,0,""
55,"Andre Roberson","OKC@POR 11/05/2017 09:00PM ET",3100,10.469,0,""
56,"Terrance Ferguson","OKC@POR 11/05/2017 09:00PM ET",3000,1.429,0,""
57,"PJ Dozier","OKC@POR 11/05/2017 09:00PM ET",3000,0,0,""
58,"Kyle Singler","OKC@POR 11/05/2017 09:00PM ET",3000,0,0,""
59,"Alex Abrines","OKC@POR 11/05/2017 09:00PM ET",3000,9.469,0,""
60,"Jonathon Simmons","BOS@ORL 11/05/2017 06:00PM ET",4800,23.444,0,""
61,"D.J. Augustin","BOS@ORL 11/05/2017 06:00PM ET",4700,21.188,0,"GTD"
62,"Wes Iwundu","BOS@ORL 11/05/2017 06:00PM ET",3000,5.083,0,""
63,"Arron Afflalo","BOS@ORL 11/05/2017 06:00PM ET",3000,2.875,0,""
64,"Jamel Artis","BOS@ORL 11/05/2017 06:00PM ET",3000,0,0,""
65,"Josh Jackson","PHO@SA 11/05/2017 07:00PM ET",3800,18.222,0,""
66,"Troy Daniels","PHO@SA 11/05/2017 07:00PM ET",3000,7.167,0,""
67,"Evan Turner","OKC@POR 11/05/2017 09:00PM ET",4400,22.944,0,""
68,"Shabazz Napier","OKC@POR 11/05/2017 09:00PM ET",3100,7.125,0,""
69,"Pat Connaughton","OKC@POR 11/05/2017 09:00PM ET",3000,13.194,0,""
70,"Kyle Anderson","PHO@SA 11/05/2017 07:00PM ET",4300,22.972,0,""
71,"Manu Ginobili","PHO@SA 11/05/2017 07:00PM ET",3600,15.781,0,""
72,"Brandon Paul","PHO@SA 11/05/2017 07:00PM ET",3400,10.393,0,""
73,"Bryn Forbes","PHO@SA 11/05/2017 07:00PM ET",3400,9.781,0,""
74,"Derrick White","PHO@SA 11/05/2017 07:00PM ET",3000,5.167,0,""
75,"Darrun Hilliard","PHO@SA 11/05/2017 07:00PM ET",3000,0,0,""
76,"Delon Wright","WAS@TOR 11/05/2017 06:00PM ET",3700,17.406,0,""
77,"Norman Powell","WAS@TOR 11/05/2017 06:00PM ET",3700,17.313,0,""
78,"C.J. Miles","WAS@TOR 11/05/2017 06:00PM ET",3600,16.357,0,"GTD"
79,"Joe Ingles","UTA@HOU 11/05/2017 07:00PM ET",5000,26.639,0,""
80,"Rodney Hood","UTA@HOU 11/05/2017 07:00PM ET",4800,21.393,0,""
81,"Thabo Sefolosha","UTA@HOU 11/05/2017 07:00PM ET",3900,17.139,0,""
82,"Alec Burks","UTA@HOU 11/05/2017 07:00PM ET",3100,10.344,0,""
83,"Kelly Oubre Jr.","WAS@TOR 11/05/2017 06:00PM ET",5200,24.781,0,""
84,"Tomas Satoransky","WAS@TOR 11/05/2017 06:00PM ET",3600,8,0,""
85,"Jodie Meeks","WAS@TOR 11/05/2017 06:00PM ET",3500,13.438,0,""
